name,regno,fys,fye,inc,exp
Oxfam,202918,01/05/2008 00:00,30/04/2009 00:00,308300000,318600000
Oxfam,202918,01/05/2009 00:00,31/03/2010 00:00,318000000,294800000
Oxfam,202918,01/04/2010 00:00,31/03/2011 00:00,367500000,361100000
Oxfam,202918,01/04/2011 00:00,31/03/2012 00:00,385500000,378700000
Oxfam,202918,01/04/2012 00:00,31/03/2013 00:00,367900000,384600000
Oxfam,202918,01/04/2013 00:00,31/03/2014 00:00,389100000,365100000
Oxfam,202918,01/04/2014 00:00,31/03/2015 00:00,401400000,387800000
Oxfam,202918,01/04/2015 00:00,31/03/2016 00:00,414700000,420700000
Oxfam,202918,01/04/2016 00:00,31/03/2017 00:00,408600000,402600000
Oxfam,202918,01/04/2017 00:00,31/03/2018 00:00,427200000,438700000
